scenarios,intervals,Coal1,Coal2,Combined Cycle GT1,Combined Cycle GT2,Open Cycle GT,Battery,Wind,Solar
1,39,300.0,157.0,40.0,0.0,0.0,0.0,533.0,0.0
1,40,300.0,107.5,40.0,0.0,0.0,0.0,552.5,0.0
1,41,295.0,100.0,0.0,0.0,0.0,0.0,585.0,0.0
1,42,255.5,100.0,0.0,0.0,0.0,0.0,604.5,0.0
1,43,279.0,50.0,0.0,0.0,0.0,0.0,611.0,0.0
1,44,255.5,50.0,0.0,0.0,0.0,0.0,604.5,0.0
1,45,232.0,50.0,0.0,0.0,0.0,0.0,598.0,0.0
1,46,215.0,50.0,0.0,0.0,0.0,0.0,585.0,0.0
1,47,258.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0
2,0,294.875,140.0,80.0,60.0,0.0,0.0,156.0,0.0
2,1,300.0,100.0,80.0,40.0,0.0,0.0,169.0,0.0
2,2,300.0,100.0,80.0,40.0,0.0,0.0,182.0,0.0
2,3,300.0,100.0,80.0,40.0,0.0,0.0,221.0,0.0
2,4,300.0,100.0,80.0,40.0,0.0,0.0,211.25,0.0
2,5,300.0,100.0,80.0,40.0,0.0,0.0,195.0,0.0
2,6,300.0,100.0,80.0,40.0,0.0,0.0,188.5,0.0
2,7,300.0,100.0,80.0,40.0,0.0,0.0,175.5,0.0
2,8,300.0,127.0,80.0,40.0,0.0,0.0,175.5,0.0
2,9,300.0,187.0,80.0,40.0,0.0,6.0,169.0,0.0
2,10,300.0,200.0,80.0,40.0,20.0,30.5,162.5,0.0
2,11,300.0,200.0,80.0,40.0,20.0,88.0,156.0,0.0
2,12,300.0,200.0,80.0,40.0,20.0,131.5,149.5,14.0
2,13,300.0,200.0,80.0,40.0,20.0,130.0,143.0,56.0
2,14,300.0,200.0,80.0,40.0,20.0,70.5,149.5,126.0
2,15,300.0,158.5,80.0,40.0,20.0,0.0,169.0,210.0
2,16,217.5,100.0,80.0,40.0,0.0,0.0,208.0,315.0
2,17,150.0,100.0,80.0,40.0,0.0,0.0,148.0,434.0
2,18,150.0,100.0,80.0,40.0,0.0,0.0,90.5,546.0
2,19,150.0,100.0,80.0,40.0,0.0,0.0,135.0,630.0
2,20,150.0,100.0,80.0,40.0,0.0,0.0,110.0,672.0
2,21,150.0,100.0,80.0,40.0,0.0,0.0,133.0,700.0
2,22,150.0,100.0,80.0,40.0,0.0,0.0,220.5,672.0
2,23,150.0,100.0,80.0,40.0,0.0,0.0,273.0,616.0
2,24,152.5,100.0,80.0,40.0,0.0,0.0,292.5,525.0
2,25,240.0,140.0,80.0,80.0,0.0,0.0,312.0,406.0
2,26,300.0,200.0,80.0,80.0,20.0,7.0,325.0,280.0
2,27,300.0,200.0,80.0,80.0,40.0,125.5,338.0,154.0
2,28,300.0,200.0,80.0,80.0,60.0,174.0,370.5,70.0
2,29,300.0,200.0,81.5,80.0,60.0,200.0,383.5,21.0
2,30,300.0,200.0,82.5,80.0,60.0,173.0,396.5,0.0
2,31,300.0,200.0,162.5,80.0,60.0,24.5,422.5,0.0
2,32,300.0,200.0,82.5,80.0,40.0,75.5,429.0,0.0
2,33,300.0,200.0,80.0,80.0,40.0,20.5,435.5,0.0
2,34,300.0,196.5,80.0,80.0,0.0,0.0,448.5,0.0
2,35,300.0,152.0,80.0,80.0,0.0,0.0,442.0,0.0
2,36,288.0,100.0,80.0,80.0,0.0,0.0,455.0,0.0
2,37,244.5,100.0,80.0,40.0,0.0,0.0,487.5,0.0
2,38,176.0,100.0,80.0,40.0,0.0,0.0,513.5,0.0
2,39,202.5,100.0,40.0,0.0,0.0,0.0,533.0,0.0
2,40,157.5,100.0,40.0,0.0,0.0,0.0,552.5,0.0
2,41,150.0,100.0,0.0,0.0,0.0,0.0,583.0,0.0
2,42,150.0,100.0,0.0,0.0,0.0,0.0,566.0,0.0
2,43,150.0,50.0,0.0,0.0,0.0,0.0,599.0,0.0
2,44,150.0,50.0,0.0,0.0,0.0,0.0,573.5,0.0
2,45,150.0,50.0,0.0,0.0,0.0,0.0,548.0,0.0
2,46,150.0,50.0,0.0,0.0,0.0,0.0,522.5,0.0
2,47,150.0,0.0,0.0,0.0,0.0,0.0,555.5,0.0
