scenarios,intervals,units_reserve
0,46,Coal2
0,46,Combined Cycle GT1
0,46,Combined Cycle GT2
0,46,Open Cycle GT
0,46,Battery
0,47,Coal1
0,47,Coal2
0,47,Combined Cycle GT1
0,47,Combined Cycle GT2
0,47,Open Cycle GT
0,47,Battery
1,0,Coal1
1,0,Coal2
1,0,Combined Cycle GT1
1,0,Combined Cycle GT2
1,0,Open Cycle GT
1,0,Battery
1,1,Coal1
1,1,Coal2
1,1,Combined Cycle GT1
1,1,Combined Cycle GT2
1,1,Open Cycle GT
1,1,Battery
1,2,Coal1
1,2,Coal2
1,2,Combined Cycle GT1
1,2,Combined Cycle GT2
1,2,Open Cycle GT
1,2,Battery
1,3,Coal1
1,3,Coal2
1,3,Combined Cycle GT1
1,3,Combined Cycle GT2
1,3,Open Cycle GT
1,3,Battery
1,4,Coal1
1,4,Coal2
1,4,Combined Cycle GT1
1,4,Combined Cycle GT2
1,4,Open Cycle GT
1,4,Battery
1,5,Coal1
1,5,Coal2
1,5,Combined Cycle GT1
1,5,Combined Cycle GT2
1,5,Open Cycle GT
1,5,Battery
1,6,Coal1
1,6,Coal2
1,6,Combined Cycle GT1
1,6,Combined Cycle GT2
1,6,Open Cycle GT
1,6,Battery
1,7,Coal1
1,7,Coal2
1,7,Combined Cycle GT1
1,7,Combined Cycle GT2
1,7,Open Cycle GT
1,7,Battery
1,8,Coal1
1,8,Coal2
1,8,Combined Cycle GT1
1,8,Combined Cycle GT2
1,8,Open Cycle GT
1,8,Battery
1,9,Coal1
1,9,Coal2
1,9,Combined Cycle GT1
1,9,Combined Cycle GT2
1,9,Open Cycle GT
1,9,Battery
1,10,Coal1
1,10,Coal2
1,10,Combined Cycle GT1
1,10,Combined Cycle GT2
1,10,Open Cycle GT
1,10,Battery
1,11,Coal1
1,11,Coal2
1,11,Combined Cycle GT1
1,11,Combined Cycle GT2
1,11,Open Cycle GT
1,11,Battery
1,12,Coal1
1,12,Coal2
1,12,Combined Cycle GT1
1,12,Combined Cycle GT2
1,12,Open Cycle GT
1,12,Battery
1,13,Coal1
1,13,Coal2
1,13,Combined Cycle GT1
1,13,Combined Cycle GT2
1,13,Open Cycle GT
1,13,Battery
1,14,Coal1
1,14,Coal2
1,14,Combined Cycle GT1
1,14,Combined Cycle GT2
1,14,Open Cycle GT
1,14,Battery
1,15,Coal1
1,15,Coal2
1,15,Combined Cycle GT1
1,15,Combined Cycle GT2
1,15,Open Cycle GT
1,15,Battery
1,16,Coal1
1,16,Coal2
1,16,Combined Cycle GT1
1,16,Combined Cycle GT2
1,16,Open Cycle GT
1,16,Battery
1,17,Coal1
1,17,Coal2
1,17,Combined Cycle GT1
1,17,Combined Cycle GT2
1,17,Open Cycle GT
1,17,Battery
1,18,Coal1
1,18,Coal2
1,18,Combined Cycle GT1
1,18,Combined Cycle GT2
1,18,Open Cycle GT
1,18,Battery
1,19,Coal1
1,19,Coal2
1,19,Combined Cycle GT1
1,19,Combined Cycle GT2
1,19,Open Cycle GT
1,19,Battery
1,20,Coal1
1,20,Coal2
1,20,Combined Cycle GT1
1,20,Combined Cycle GT2
1,20,Open Cycle GT
1,20,Battery
1,21,Coal1
1,21,Coal2
1,21,Combined Cycle GT1
1,21,Combined Cycle GT2
1,21,Open Cycle GT
1,21,Battery
1,22,Coal1
1,22,Coal2
1,22,Combined Cycle GT1
1,22,Combined Cycle GT2
1,22,Open Cycle GT
1,22,Battery
1,23,Coal1
1,23,Coal2
1,23,Combined Cycle GT1
1,23,Combined Cycle GT2
1,23,Open Cycle GT
1,23,Battery
1,24,Coal1
1,24,Coal2
1,24,Combined Cycle GT1
1,24,Combined Cycle GT2
1,24,Open Cycle GT
1,24,Battery
1,25,Coal1
1,25,Coal2
1,25,Combined Cycle GT1
1,25,Combined Cycle GT2
1,25,Open Cycle GT
1,25,Battery
1,26,Coal1
1,26,Coal2
1,26,Combined Cycle GT1
1,26,Combined Cycle GT2
1,26,Open Cycle GT
1,26,Battery
1,27,Coal1
1,27,Coal2
1,27,Combined Cycle GT1
1,27,Combined Cycle GT2
1,27,Open Cycle GT
1,27,Battery
1,28,Coal1
1,28,Coal2
1,28,Combined Cycle GT1
1,28,Combined Cycle GT2
1,28,Open Cycle GT
1,28,Battery
1,29,Coal1
1,29,Coal2
1,29,Combined Cycle GT1
1,29,Combined Cycle GT2
1,29,Open Cycle GT
1,29,Battery
1,30,Coal1
1,30,Coal2
1,30,Combined Cycle GT1
1,30,Combined Cycle GT2
1,30,Open Cycle GT
1,30,Battery
1,31,Coal1
1,31,Coal2
1,31,Combined Cycle GT1
1,31,Combined Cycle GT2
1,31,Open Cycle GT
1,31,Battery
1,32,Coal1
1,32,Coal2
1,32,Combined Cycle GT1
1,32,Combined Cycle GT2
1,32,Open Cycle GT
1,32,Battery
1,33,Coal1
1,33,Coal2
1,33,Combined Cycle GT1
1,33,Combined Cycle GT2
1,33,Open Cycle GT
1,33,Battery
1,34,Coal1
1,34,Coal2
1,34,Combined Cycle GT1
1,34,Combined Cycle GT2
1,34,Open Cycle GT
1,34,Battery
1,35,Coal1
1,35,Coal2
1,35,Combined Cycle GT1
1,35,Combined Cycle GT2
1,35,Open Cycle GT
1,35,Battery
1,36,Coal1
1,36,Coal2
1,36,Combined Cycle GT1
1,36,Combined Cycle GT2
1,36,Open Cycle GT
1,36,Battery
1,37,Coal1
1,37,Coal2
1,37,Combined Cycle GT1
1,37,Combined Cycle GT2
1,37,Open Cycle GT
1,37,Battery
1,38,Coal1
1,38,Coal2
1,38,Combined Cycle GT1
1,38,Combined Cycle GT2
1,38,Open Cycle GT
1,38,Battery
1,39,Coal1
1,39,Coal2
1,39,Combined Cycle GT1
1,39,Combined Cycle GT2
1,39,Open Cycle GT
1,39,Battery
1,40,Coal1
1,40,Coal2
1,40,Combined Cycle GT1
1,40,Combined Cycle GT2
1,40,Open Cycle GT
1,40,Battery
1,41,Coal1
1,41,Coal2
1,41,Combined Cycle GT1
1,41,Combined Cycle GT2
1,41,Open Cycle GT
1,41,Battery
1,42,Coal1
1,42,Coal2
1,42,Combined Cycle GT1
1,42,Combined Cycle GT2
1,42,Open Cycle GT
1,42,Battery
1,43,Coal1
1,43,Coal2
1,43,Combined Cycle GT1
1,43,Combined Cycle GT2
1,43,Open Cycle GT
1,43,Battery
1,44,Coal1
1,44,Coal2
1,44,Combined Cycle GT1
1,44,Combined Cycle GT2
1,44,Open Cycle GT
1,44,Battery
1,45,Coal1
1,45,Coal2
1,45,Combined Cycle GT1
1,45,Combined Cycle GT2
1,45,Open Cycle GT
1,45,Battery
1,46,Coal1
1,46,Coal2
1,46,Combined Cycle GT1
1,46,Combined Cycle GT2
1,46,Open Cycle GT
1,46,Battery
1,47,Coal1
1,47,Coal2
1,47,Combined Cycle GT1
1,47,Combined Cycle GT2
1,47,Open Cycle GT
1,47,Battery
2,0,Coal1
2,0,Coal2
2,0,Combined Cycle GT1
2,0,Combined Cycle GT2
2,0,Open Cycle GT
2,0,Battery
2,1,Coal1
2,1,Coal2
2,1,Combined Cycle GT1
2,1,Combined Cycle GT2
2,1,Open Cycle GT
2,1,Battery
2,2,Coal1
2,2,Coal2
2,2,Combined Cycle GT1
2,2,Combined Cycle GT2
2,2,Open Cycle GT
2,2,Battery
2,3,Coal1
2,3,Coal2
2,3,Combined Cycle GT1
2,3,Combined Cycle GT2
2,3,Open Cycle GT
2,3,Battery
2,4,Coal1
2,4,Coal2
2,4,Combined Cycle GT1
2,4,Combined Cycle GT2
2,4,Open Cycle GT
2,4,Battery
2,5,Coal1
2,5,Coal2
2,5,Combined Cycle GT1
2,5,Combined Cycle GT2
2,5,Open Cycle GT
2,5,Battery
2,6,Coal1
2,6,Coal2
2,6,Combined Cycle GT1
2,6,Combined Cycle GT2
2,6,Open Cycle GT
2,6,Battery
2,7,Coal1
2,7,Coal2
2,7,Combined Cycle GT1
2,7,Combined Cycle GT2
2,7,Open Cycle GT
2,7,Battery
2,8,Coal1
2,8,Coal2
2,8,Combined Cycle GT1
2,8,Combined Cycle GT2
2,8,Open Cycle GT
2,8,Battery
2,9,Coal1
2,9,Coal2
2,9,Combined Cycle GT1
2,9,Combined Cycle GT2
2,9,Open Cycle GT
2,9,Battery
2,10,Coal1
2,10,Coal2
2,10,Combined Cycle GT1
2,10,Combined Cycle GT2
2,10,Open Cycle GT
2,10,Battery
2,11,Coal1
2,11,Coal2
2,11,Combined Cycle GT1
2,11,Combined Cycle GT2
2,11,Open Cycle GT
2,11,Battery
2,12,Coal1
2,12,Coal2
2,12,Combined Cycle GT1
2,12,Combined Cycle GT2
2,12,Open Cycle GT
